receptor,emisor,fecha
555072650,555759347,01/06/2019
555633205,555715107,01/06/2019
555446339,555855743,01/06/2019
555987138,555285556,01/06/2019
555850892,555678552,01/06/2019
555214182,555538103,01/06/2019
555976792,555179731,01/06/2019
555748568,555171794,01/06/2019
555123809,555428384,01/06/2019
555765470,555624019,01/06/2019
555227220,555821787,01/06/2019
555801610,555501641,01/06/2019
555623523,555987138,01/06/2019
555032183,555875851,01/06/2019
555333507,555461331,01/06/2019
555526160,555124327,01/06/2019
555271124,555767051,01/06/2019
555059975,555196917,01/06/2019
555132231,555441728,01/06/2019
555783351,555241232,01/06/2019
555161969,555514779,01/06/2019
555918799,555023464,01/06/2019
555373651,555293901,01/06/2019
555453899,555732096,01/06/2019
555108542,555413073,01/06/2019
555571010,555470220,01/06/2019
555135999,555949627,01/06/2019
555998471,555302471,01/06/2019
555697094,555546389,01/06/2019
555607059,555072138,01/06/2019
555869935,555897124,01/06/2019
555950779,555818076,01/06/2019
555450050,555558496,01/06/2019
555469634,555577308,01/06/2019
555561845,555874352,01/06/2019
555943264,555999858,01/06/2019
555026772,555206207,01/06/2019
555554003,555340115,01/06/2019
555173488,555583996,01/06/2019
555923515,555092965,01/06/2019
555799184,555736718,01/06/2019
555292252,555442782,01/06/2019
555563958,555807842,01/06/2019
555980653,555998488,01/06/2019
555931141,555010190,01/06/2019
555783187,555052866,01/06/2019
555525508,555168841,01/06/2019
555557867,555451338,01/06/2019
555166740,555896050,01/06/2019
555219360,555752334,01/06/2019
555015631,555801985,01/06/2019
555196292,555230743,01/06/2019
555971991,555940391,01/06/2019
555539496,555651890,01/06/2019
555906002,555353031,01/06/2019
555757188,555225882,01/06/2019
555218291,555093171,01/06/2019
555033563,555547285,01/06/2019
555291057,555485659,01/06/2019
555262843,555792436,01/06/2019
555171172,555914450,01/06/2019
555761502,555455826,01/06/2019
555468597,555913367,01/06/2019
555481343,555880680,01/06/2019
555820785,555452302,01/06/2019
555907648,555380640,01/06/2019
555013100,555235813,01/06/2019
555708373,555658615,01/06/2019
555883130,555962201,01/06/2019
555536670,555662350,01/06/2019
555654746,555096691,01/06/2019
555678614,555853860,01/06/2019
555571293,555738765,01/06/2019
555476125,555713641,01/06/2019
555790179,555808629,01/06/2019
555517168,555590895,01/06/2019
555289989,555720576,01/06/2019
555861963,555449828,01/06/2019
555165674,555793722,01/06/2019
555240748,555532723,01/06/2019
555122192,555707046,01/06/2019
555063356,555373128,01/06/2019
555182098,555098431,01/06/2019
555222733,555366104,01/06/2019
555884386,555201048,01/06/2019
555026571,555400415,01/06/2019
555090272,555978556,01/06/2019
555066255,555326159,01/06/2019
555564718,555605523,01/06/2019
555767216,555904061,01/06/2019
555095024,555421658,01/06/2019
555319505,555165349,01/06/2019
555969881,555223810,01/06/2019
555923058,555846622,01/06/2019
555853435,555519489,01/06/2019
555490038,555551244,01/06/2019
555804393,555382992,01/06/2019
555424620,555760614,01/06/2019
555846707,555360140,01/06/2019
555030620,555920334,01/06/2019
555136753,555230603,01/06/2019
555139033,555594339,01/06/2019
555911586,555606428,01/06/2019
555218370,555821686,01/06/2019
555807074,555361611,01/06/2019
555077431,555392228,01/06/2019
555588622,555329881,01/06/2019
555136024,555343713,01/06/2019
555616209,555879433,01/06/2019
555494790,555147599,01/06/2019
555079369,555444098,01/06/2019
555046254,555959503,01/06/2019
555923808,555633854,01/06/2019
555184430,555244590,01/06/2019
555273961,555169257,01/06/2019
555217015,555717462,01/06/2019
555713545,555131700,01/06/2019
555335999,555354930,01/06/2019
555025640,555357754,01/06/2019
555349483,555211862,01/06/2019
555608404,555830775,01/06/2019
555629914,555690958,01/06/2019
555315153,555990450,01/06/2019
555658024,555512338,01/06/2019
555207978,555371516,01/06/2019
555168687,555528835,01/06/2019
555577744,555675948,01/06/2019
555086256,555536160,01/06/2019
555205400,555547718,01/06/2019
555209243,555362564,01/06/2019
555140285,555226933,01/06/2019
555756197,555236095,01/06/2019
555634285,555780825,01/06/2019
555072637,555632838,01/06/2019
555047665,555179083,01/06/2019
555266833,555699675,01/06/2019
555829429,555880796,01/06/2019
555087725,555845319,01/06/2019
555153754,555094464,01/06/2019
555794973,555355220,01/06/2019
555053797,555811558,01/06/2019
555159539,555745385,01/06/2019
555929024,555487488,01/06/2019
555519489,555427526,01/06/2019
555932954,555371146,01/06/2019
555503417,555560798,01/06/2019
555031087,555899035,01/06/2019
555536026,555827029,01/06/2019
555076540,555064858,01/06/2019
555986059,555655154,01/06/2019
555448415,555428594,01/06/2019
555793402,555771454,01/06/2019
555048074,555654820,01/06/2019
555509632,555965176,01/06/2019
555958109,555087423,01/06/2019
555924678,555284955,01/06/2019
555829782,555683056,01/06/2019
555397838,555512609,01/06/2019
555180133,555958538,01/06/2019
555556098,555123222,01/06/2019
555803123,555724520,01/06/2019
555604549,555861099,01/06/2019
555859798,555101144,01/06/2019
555039196,555215739,01/06/2019
555089419,555581890,01/06/2019
555400755,555349302,01/06/2019
555380527,555992968,01/06/2019
555112517,555163968,01/06/2019
555501275,555046647,01/06/2019
555780602,555786709,01/06/2019
555192225,555306323,01/06/2019
555741208,555597031,01/06/2019
555844353,555063884,01/06/2019
555690263,555487779,01/06/2019
555586244,555706833,01/06/2019
555534914,555462347,01/06/2019
555232937,555343232,01/06/2019
555859798,555343797,01/06/2019
555811566,555874701,01/06/2019
555085107,555256077,01/06/2019
555351606,555760735,01/06/2019
555063356,555296675,01/06/2019
555493868,555122192,01/06/2019
555727289,555139384,01/06/2019
555954805,555258676,01/06/2019
555506334,555259446,01/06/2019
555884736,555354097,01/06/2019
555327860,555052422,01/06/2019
555115537,555857590,01/06/2019
555541801,555483018,01/06/2019
555488197,555431560,01/06/2019
555270680,555309944,01/06/2019
555920162,555853006,01/06/2019
555183365,555680140,01/06/2019
555508238,555544159,01/06/2019
555957353,555803453,01/06/2019
555914953,555787906,01/06/2019
555052855,555871716,01/06/2019
555198178,555343521,01/06/2019
555800701,555752422,01/06/2019
555193740,555859248,01/06/2019
555634318,555151219,01/06/2019
555407149,555162216,01/06/2019
555818917,555164633,01/06/2019
555640752,555876375,01/06/2019
555866434,555273985,01/06/2019
555759845,555998420,01/06/2019
555672230,555037136,01/06/2019
555245457,555327809,01/06/2019
555372848,555194458,01/06/2019
555608434,555460993,01/06/2019
555240573,555102167,01/06/2019
555738838,555230438,01/06/2019
555876806,555760614,01/06/2019
555626431,555491185,01/06/2019
555666880,555822081,01/06/2019
555503533,555553600,01/06/2019
555452237,555452634,01/06/2019
555319821,555291943,01/06/2019
555022526,555663326,01/06/2019
555472736,555345392,01/06/2019
555464719,555974967,01/06/2019
555166139,555782704,01/06/2019
555273332,555547361,01/06/2019
555223819,555769245,01/06/2019
555110966,555122192,01/06/2019
555995475,555164220,01/06/2019
555798151,555484832,01/06/2019
555378275,555684962,01/06/2019
555459057,555404702,01/06/2019
555507982,555620386,01/06/2019
555150589,555084157,01/06/2019
555262108,555203259,01/06/2019
555390963,555777857,01/06/2019
555486359,555630231,01/06/2019
555671824,555503417,01/06/2019
555141546,555094676,01/06/2019
555749585,555444293,01/06/2019
555387629,555934464,01/06/2019
555166339,555852540,01/06/2019
555923702,555085873,01/06/2019
555702472,555488401,01/06/2019
555000297,555265039,01/06/2019
555596732,555428930,01/06/2019
555549860,555143589,01/06/2019
555328397,555533534,01/06/2019
555631753,555965176,01/06/2019
555900713,555341863,01/06/2019
555971920,555830885,01/06/2019
555510454,555597318,01/06/2019
555909128,555687110,01/06/2019
555126730,555045128,01/06/2019
555575271,555649545,01/06/2019
555849470,555555658,01/06/2019
555845951,555207222,01/06/2019
555489736,555955238,01/06/2019
555079369,555800652,01/06/2019
555634436,555793557,01/06/2019
555419051,555935033,01/06/2019
555080325,555447787,01/06/2019
555505763,555404047,01/06/2019
555593598,555853860,01/06/2019
555723414,555446750,01/06/2019
555900713,555966456,01/06/2019
555626813,555351884,01/06/2019
555846923,555523622,01/06/2019
555434798,555517168,01/06/2019
555429586,555037136,01/06/2019
555326840,555216941,01/06/2019
555244652,555628659,01/06/2019
555421658,555151408,01/06/2019
555797295,555193740,01/06/2019
555886698,555780920,01/06/2019
555020178,555422112,01/06/2019
555857550,555251033,01/06/2019
555078517,555552903,01/06/2019
555474322,555930398,01/06/2019
555253386,555887467,01/06/2019
555193899,555297190,01/06/2019
555983656,555915528,01/06/2019
555447940,555124327,01/06/2019
555312618,555555338,01/06/2019
555868304,555265572,01/06/2019
555230959,555504441,01/06/2019
555904443,555267739,01/06/2019
555128413,555740008,01/06/2019
555436553,555937338,01/06/2019
555074502,555672230,01/06/2019
555593991,555898301,01/06/2019
555185616,555126206,01/06/2019
555643154,555800034,01/06/2019
555411756,555508305,01/06/2019
555763826,555138181,01/06/2019
555564083,555825574,01/06/2019
555332768,555288159,01/06/2019
555678175,555385744,01/06/2019
555383976,555843789,01/06/2019
555515072,555955362,01/06/2019
555954108,555319265,01/06/2019
555559537,555851278,01/06/2019
555069042,555649664,01/06/2019
555119137,555828669,01/06/2019
555683076,555616280,01/06/2019
555241857,555420292,01/06/2019
555922686,555446139,01/06/2019
555432380,555747346,01/06/2019
555968467,555778298,01/06/2019
555451369,555411099,01/06/2019
555342358,555254402,01/06/2019
555886027,555604125,01/06/2019
555445459,555188067,01/06/2019
555539572,555240398,01/06/2019
555516447,555347798,01/06/2019
555517787,555246102,01/06/2019
555850653,555458587,01/06/2019
555510454,555523999,01/06/2019
555790308,555286437,01/06/2019
555375779,555203166,01/06/2019
555539465,555534956,01/06/2019
555085773,555287150,01/06/2019
555164508,555014869,01/06/2019
555275566,555865871,01/06/2019
555439432,555686180,01/06/2019
555409363,555811602,01/06/2019
555938062,555165931,01/06/2019
555969835,555578142,01/06/2019
555198475,555886393,01/06/2019
555450594,555226883,01/06/2019
555115128,555458794,01/06/2019
555273035,555480984,01/06/2019
555865744,555206278,01/06/2019
555370918,555696169,01/06/2019
555189942,555536649,01/06/2019
555265572,555596043,01/06/2019
555050508,555713715,01/06/2019
555642818,555745056,01/06/2019
555880816,555963369,01/06/2019
555335481,555781205,01/06/2019
555645098,555933040,01/06/2019
555256194,555375516,01/06/2019
555036801,555274331,01/06/2019
555306451,555525019,01/06/2019
555682193,555067331,01/06/2019
555738838,555641469,01/06/2019
555448791,555241232,01/06/2019
555186349,555990302,01/06/2019
555440722,555894135,01/06/2019
555577744,555833225,01/06/2019
555701087,555894098,01/06/2019
555525019,555383976,01/06/2019
555929598,555721707,01/06/2019
555381747,555001362,01/06/2019
555287150,555250792,01/06/2019
555846923,555580718,01/06/2019
555685804,555518743,01/06/2019
555777857,555210741,01/06/2019
555390963,555468597,01/06/2019
555324647,555423022,01/06/2019
555628659,555166196,01/06/2019
555841312,555495312,01/06/2019
555952659,555003500,01/06/2019
555311149,555365537,01/06/2019
555682685,555960213,01/06/2019
555216941,555919520,01/06/2019
555096009,555230256,01/06/2019
555526922,555648880,01/06/2019
555269345,555517425,01/06/2019
555933902,555707512,01/06/2019
555666701,555842223,01/06/2019
555553920,555529188,01/06/2019
555227170,555738341,01/06/2019
555343084,555512099,01/06/2019
555730777,555858896,01/06/2019
555260035,555592404,01/06/2019
555578821,555080615,01/06/2019
555317926,555866289,01/06/2019
555759085,555142015,01/06/2019
555713414,555952761,01/06/2019
555714902,555265324,01/06/2019
555662839,555298515,01/06/2019
555100706,555840834,01/06/2019
555854130,555492840,01/06/2019
555936548,555734132,01/06/2019
555492589,555839924,01/06/2019
555588012,555786286,01/06/2019
555033170,555684225,01/06/2019
555849089,555423814,01/06/2019
555705983,555434130,01/06/2019
555777737,555799413,01/06/2019
555142488,555193268,01/06/2019
555568517,555625816,01/06/2019
555156082,555096331,01/06/2019
555139842,555935020,01/06/2019
555658024,555325116,01/06/2019
555630874,555451226,01/06/2019
555222733,555096473,01/06/2019
555552529,555043310,01/06/2019
555684225,555241984,01/06/2019
555805707,555681692,01/06/2019
555303457,555158432,01/06/2019
555478912,555864663,01/06/2019
555794012,555876511,01/06/2019
555938196,555674667,01/06/2019
555743907,555668044,01/06/2019
555944754,555796195,01/06/2019
555267739,555102527,01/06/2019
555780741,555490376,01/06/2019
555992547,555232335,01/06/2019
555568734,555017731,01/06/2019
555672309,555538832,01/06/2019
555508270,555599908,01/06/2019
555185436,555911129,01/06/2019
555361739,555759844,01/06/2019
555106202,555517191,01/06/2019
555637181,555281100,01/06/2019
555566627,555776327,01/06/2019
555664880,555116075,01/06/2019
555062431,555514779,01/06/2019
555030620,555313599,01/06/2019
555781007,555994109,01/06/2019
555508299,555227938,01/06/2019
555563125,555967744,01/06/2019
555677081,555475843,01/06/2019
555710542,555719022,01/06/2019
555159279,555412360,01/06/2019
555996191,555042968,01/06/2019
555971368,555207325,01/06/2019
555082047,555227882,01/06/2019
555359021,555523690,01/06/2019
555269455,555891377,01/06/2019
555240398,555992547,01/06/2019
555648727,555516447,01/06/2019
555609386,555164391,01/06/2019
555492797,555797097,01/06/2019
555880680,555905993,01/06/2019
555483872,555910046,01/06/2019
555515848,555739987,01/06/2019
555918908,555473561,01/06/2019
555406349,555846923,01/06/2019
555791826,555707708,01/06/2019
555353459,555476906,01/06/2019
555341769,555483115,01/06/2019
555091135,555967997,01/06/2019
555449848,555220481,01/06/2019
555312850,555033027,01/06/2019
555955771,555409726,01/06/2019
555025378,555114966,01/06/2019
555274678,555216824,01/06/2019
555217982,555223810,01/06/2019
555997329,555416148,01/06/2019
555055302,555499091,01/06/2019
555206980,555331178,01/06/2019
555633901,555037847,01/06/2019
555559455,555647474,01/06/2019
555067060,555013427,01/06/2019
555276075,555819310,01/06/2019
555311610,555551025,01/06/2019
555851092,555698523,01/06/2019
555794012,555465817,01/06/2019
555350402,555798035,01/06/2019
555939679,555666202,01/06/2019
555510586,555162904,01/06/2019
555792515,555456712,01/06/2019
555480776,555978395,01/06/2019
555017808,555283977,01/06/2019
555457476,555132860,01/06/2019
555092500,555371740,01/06/2019
555268401,555543960,01/06/2019
555153878,555611081,01/06/2019
555410724,555387011,01/06/2019
555547410,555131044,01/06/2019
555052852,555938326,01/06/2019
555154550,555373293,01/06/2019
555321763,555076138,01/06/2019
555724393,555929527,01/06/2019
555071274,555739941,01/06/2019
555265478,555538332,01/06/2019
555882944,555908880,01/06/2019
555346268,555428930,01/06/2019
555091691,555693848,01/06/2019
555556556,555296038,01/06/2019
555454355,555982667,01/06/2019
555501834,555923951,01/06/2019
555444087,555886747,01/06/2019
555724125,555862582,01/06/2019
555979622,555538832,01/06/2019
555520832,555606952,01/06/2019
555400755,555004731,01/06/2019
555121493,555641006,01/06/2019
555706544,555256027,01/06/2019
555210773,555483196,01/06/2019
555603877,555221537,01/06/2019
555619057,555681842,01/06/2019
555623180,555507456,01/06/2019
555829033,555950295,01/06/2019
555631441,555255814,01/06/2019
555314616,555880485,01/06/2019
555668195,555100341,01/06/2019
555662713,555022705,01/06/2019
555206278,555051774,01/06/2019
555594524,555633982,01/06/2019
555923515,555964604,01/06/2019
555516447,555514593,01/06/2019
555939791,555415850,01/06/2019
555906002,555466555,01/06/2019
555634868,555802026,01/06/2019
555315003,555849790,01/06/2019
555499891,555371369,01/06/2019
555428689,555872466,01/06/2019
555452302,555575150,01/06/2019
555432012,555315152,01/06/2019
555391170,555653005,01/06/2019
555111187,555477422,01/06/2019
555657460,555584739,01/06/2019
555400522,555830526,01/06/2019
555205833,555583371,01/06/2019
555091318,555508055,01/06/2019
555855129,555859488,01/06/2019
555956316,555613121,01/06/2019
555666329,555364732,01/06/2019
555191190,555682685,01/06/2019
555210924,555644227,01/06/2019
555078922,555327319,01/06/2019
555551244,555285025,01/06/2019
555906741,555162880,01/06/2019
555687110,555406697,01/06/2019
555610161,555444087,01/06/2019
555445959,555978395,01/06/2019
555220481,555467409,01/06/2019
555594637,555170231,01/06/2019
555919793,555387032,01/06/2019
555037712,555479449,01/06/2019
555159694,555092370,01/06/2019
555196222,555036025,01/06/2019
555885557,555995649,01/06/2019
555859798,555183091,01/06/2019
555573034,555825842,01/06/2019
555062280,555430484,01/06/2019
555547038,555295193,01/06/2019
